model,task,method,budget,seed,run_id,em,f1,rougeL,n,peak_vram_gb,train_time_min,trainable_ratio,meta_file
gemma,gsm8k,ia3,2048,43,gemma_gsm8k_ia3_b2048_s43,0.045,,,200,12.114957809448242,18.208626163005828,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_ia3_b2048_s43_meta.json
gemma,gsm8k,ia3,512,42,gemma_gsm8k_ia3_b512_s42,0.055,,,200,12.114957809448242,4.610034052530924,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_ia3_b512_s42_meta.json
gemma,gsm8k,ia3,512,43,gemma_gsm8k_ia3_b512_s43,0.06,,,200,12.114957809448242,4.6025041222572325,0.00011200952629271868,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_ia3_b512_s43_meta.json
gemma,gsm8k,lora,128,42,gemma_gsm8k_lora_b128_s42,0.04,,,200,13.14537525177002,1.5945857087771098,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_lora_b128_s42_meta.json
gemma,gsm8k,lora,128,43,gemma_gsm8k_lora_b128_s43,0.035,,,200,13.14537525177002,1.5554463466008503,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_lora_b128_s43_meta.json
gemma,gsm8k,lora,2048,42,gemma_gsm8k_lora_b2048_s42,0.005,,,200,13.14537525177002,23.41946014960607,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_lora_b2048_s42_meta.json
gemma,gsm8k,lora,2048,43,gemma_gsm8k_lora_b2048_s43,0.01,,,200,13.14537525177002,23.22913476626078,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_lora_b2048_s43_meta.json
gemma,gsm8k,lora,512,42,gemma_gsm8k_lora_b512_s42,0.015,,,200,13.14537525177002,5.912218590577443,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_lora_b512_s42_meta.json
gemma,gsm8k,lora,512,43,gemma_gsm8k_lora_b512_s43,0.015,,,200,13.14537525177002,5.949613018830617,0.007880783333542205,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_lora_b512_s43_meta.json
gemma,gsm8k,qlora,128,42,gemma_gsm8k_qlora_b128_s42,0.055,,,200,7.646916389465332,3.2424073934555055,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_qlora_b128_s42_meta.json
