model,task,base_score,best_peft_method,best_peft_score,delta
gemma,dialogsum,0.2506084249414645,qlora,0.3243054392417916,0.0736970143003271
gemma,gsm8k,0.01,dora,0.075,0.065
gemma,squad_v2,0.5417539682539683,lora,0.5903852971102972,0.048631328856328926
qwen,dialogsum,0.1875460120381746,dora,0.2296524538764866,0.042106441838312025
qwen,gsm8k,0.015,qlora,0.035,0.020000000000000004
qwen,squad_v2,0.1098750493572473,lora,0.1261910428963645,0.01631599353911721
